timestamp,v2,v1,bh_510300
2022-06-22,121242.33665167673,122129.53476003028,108675.41429065022
2022-06-23,123367.3393862046,124398.82793957212,110740.96321913444
2022-06-24,124775.73660808321,125889.949035262,112062.91453336435
2022-06-27,125346.45348912993,126491.7653642483,113384.86584759426
2022-06-28,126106.2317922151,127292.93305114917,114816.97977134332
2022-06-29,124528.12008602373,125610.9293788032,113302.24389045489
2022-06-30,125803.00906483935,126964.89615150393,114679.27650944437
2022-07-01,125246.40246265466,126329.11317826758,114266.16672374753
2022-07-04,126793.26411497619,127994.09054257235,115037.30499038164
2022-07-05,126530.1909121123,127693.88129670013,114761.89846658375
2022-07-06,125352.56642061593,126438.62075233927,113136.99997617614
2022-07-07,125606.3435402962,126706.41001090064,113577.65041425278
2022-07-08,125152.41973055867,126220.65593647637,113467.48780473364
2022-07-11,123770.34582694029,124750.65550752493,111374.3982238696
2022-07-12,122310.31393736837,123247.98589015398,110382.93473819719
2022-07-13,122829.15891255908,123780.3900846574,110575.71930485571
2022-07-14,123851.76145519676,124817.7183639967,110603.25995723551
2022-07-15,122126.16584728597,122954.67869781502,108813.11755254917
2022-07-18,123305.14890474624,124244.10761770197,110079.9875620195
2022-07-19,123070.41996398842,124003.56292792858,109474.09320966413
2022-07-20,123853.3482683248,124831.76811254027,109804.5810382216
2022-07-21,123177.17093170839,124090.72957812127,108565.25168113106
2022-07-22,122620.88677501911,123507.21315136692,108647.87363827042
2022-07-25,121860.03450433932,122673.55798533601,108152.14189543422
2022-07-26,122529.16228218841,123405.52621696754,108950.82081444812
2022-07-27,122448.9345028481,123324.01352908036,108289.84515733317
2022-07-28,122550.89421170055,123450.8847763624,108372.46711447254
2022-07-29,121418.05941344312,122232.25899742896,106747.56862406494
2022-08-01,122091.40574426203,122952.03987913186,107243.30036690117
2022-08-02,119859.6857445533,120551.46400074144,105287.9140479361
2022-08-03,119085.23283345543,119711.3525681113,104048.58469084556
2022-08-04,119764.38835366533,120431.40681356154,104902.34491461904
2022-08-05,121509.79736311546,122308.27597633282,106692.48731930536
2022-08-08,121489.57705469154,122287.59420555162,106306.91818598831
2022-08-09,121607.03881852026,122416.91989376384,106499.70275264683
2022-08-10,120841.11584414696,121603.28796492843,105260.37339555631
2022-08-11,123363.4512315829,124345.78501678102,107683.9508049778
2022-08-12,122952.72119110788,123883.71191881088,107711.49145735758
2022-08-15,122789.78331647067,123733.29698705209,107436.08493355969
2022-08-16,122784.17353121375,123738.70558855067,107160.6784097618
2022-08-17,123699.05208732779,124717.28862389542,108289.84515733317
2022-08-18,123232.68145026633,124231.84528554833,107270.84101928095
2022-08-19,122124.46222912631,123056.0819696001,106444.62144788726
2022-08-22,122832.84080479003,123820.63560016111,107188.21906214158
2022-08-23,122647.47017735604,123632.6057391454,106802.64992882452
2022-08-24,120367.57806670344,121199.65457572028,104682.01969558072
2022-08-25,120918.08726781106,121770.50524612835,105673.48318125315
2022-08-26,120535.93499508263,121356.59072446261,105508.2392669744
2022-08-29,120217.56563201874,121020.36898617388,104819.72295747967
2022-08-30,120047.32368721349,120833.57508708026,104571.85708606156
2022-08-31,119270.82347289997,119988.86213642766,104571.85708606156
2022-09-01,118490.72094872422,119163.10900175395,103635.4749051487
2022-09-05,118420.50957023384,119110.6823494979,102946.95859565397
2022-09-06,119214.9410060646,119991.12131641427,103745.63751466786
2022-09-07,119374.19031890713,120160.53820518569,103965.96273370618
2022-09-08,118754.26784425041,119478.78236990221,103470.23099086997
2022-09-09,119960.9962722213,120793.43992722919,105067.58882889777
2022-09-13,119539.53812589815,120345.86569122931,105453.15796221483
2022-09-14,118497.44992424827,119202.95245025466,104186.2879527445
2022-09-15,116939.88674278902,117510.68900785866,103167.28381469227
2022-09-16,114349.80792114633,114759.15144001221,100688.62510051121
2022-09-19,113560.62641549346,113920.56516424552,100385.67792433352
2022-09-20,113844.31334980065,114228.64174471522,100440.75922909309
2022-09-21,113341.17144011444,113673.39549986226,99614.53965769941
2022-09-22,112846.28484868677,113142.54536605366,98815.8607386855
2022-09-23,112166.19330759838,112412.41888541573,98595.5355196472
2022-09-26,111493.4082545703,111714.8950992379,97907.01921015244
2022-09-27,113344.60689892143,113702.97454389225,99284.05182914193
2022-09-28,111750.05087886676,111988.61906646262,97741.77529587371
2022-09-29,111998.21385097626,112268.10420597054,97769.3159482535
2022-09-30,111069.48089826814,111256.31511678852,97053.25898637896
2022-10-10,109329.55941389993,109389.36661719183,94877.54744837557
2022-10-11,109645.47599129364,109731.6470240144,94794.92549123621
2022-10-12,111582.4342732821,111763.22113318428,96502.44593878317
2022-10-13,111912.73824684789,112130.25241438176,95593.6044102501
2022-10-14,115184.49096450786,115609.48442229934,98017.1818196716
2022-10-17,115508.48962096762,115954.34708986756,97989.6411672918
2022-10-18,115731.83274968801,116196.76104460389,97796.85660063328
2022-10-19,114784.70479012343,115200.46722693577,96171.95811022569
2022-10-20,114669.12748667708,115070.5132192478,95841.47028166821
2022-10-21,114469.6443590199,114856.34161401415,95235.57592931285
2022-10-24,112746.82812019825,113051.59983975491,92536.59199609344
2022-10-25,111689.03478308348,111945.83845310028,92095.94155801681
2022-10-26,113755.05548964642,114113.55917551786,92867.07982465092
2022-10-27,113086.32608145683,113407.38478030082,92151.0228627764
2022-10-28,110656.81894222164,110846.72107187641,89782.52675811447
2022-10-31,110754.94352896832,110955.0406922688,88708.44131530268
2022-11-01,113379.56441971024,113706.09233467467,92509.05134371365
2022-11-02,114189.87677102881,114610.3763817937,93445.43352462651
2022-11-03,114085.02697515563,114502.95862400181,92619.21395323281
2022-11-04,116505.44674560889,117119.15072695888,96116.87680546612
2022-11-07,116343.04023350839,116943.5557440875,96116.87680546612
2022-11-08,115854.80600667639,116409.23925154313,95483.44180073096
2022-11-09,115216.17208637913,115714.44624861277,94381.81570553937
2022-11-10,114723.44866828041,115172.917001115,93803.46200556378
2022-11-11,116030.94481904738,116584.39718268438,96502.44593878317
2022-11-14,116197.6898817559,116764.22372773022,96557.52724354275
2022-11-15,118106.13210944251,118865.20334409307,98623.07617202698
2022-11-16,117389.10394652559,118085.5340130987,97824.39725301307
2022-11-17,117304.11276429977,117989.1741462652,97356.20616255666
2022-11-18,116985.31447404744,117653.35316523426,96998.17768161937
2022-11-21,116527.7459013805,117175.27993183234,96089.33615308632
